libra-1  | {"time":"2026-09-07T03:23:37.262862167Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-8f30-791d-ab41-dc1e898f8004","protocol_id":"01a079e4-8f33-7c24-b1cb-52138b456908","status":"SUCCEEDED"}
libra-1  | {"time":"2026-09-07T03:23:37.283121327Z","level":"INFO","msg":"libra: receita registrada","component":"libra","trace_id":"01a079e4-8f30-791d-ab41-dc1e898f8004","protocol_id":"01a079e4-8f33-7c24-b1cb-52138b456908","amount":1}
libra-1  | {"time":"2026-09-07T03:23:37.291906611Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-8f54-7144-85ff-ec9d61d1c885","protocol_id":"01a079e4-8f54-79e1-92d4-dbdb849abcd3","status":"FAILED"}
libra-1  | {"time":"2026-09-07T03:23:37.309916914Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-8f67-793b-980d-b743dd282055","protocol_id":"01a079e4-8f68-7177-9c31-ded6970b7410","status":"SUCCEEDED"}
libra-1  | {"time":"2026-09-07T03:23:37.311953302Z","level":"INFO","msg":"libra: receita registrada","component":"libra","trace_id":"01a079e4-8f67-793b-980d-b743dd282055","protocol_id":"01a079e4-8f68-7177-9c31-ded6970b7410","amount":1}
libra-1  | {"time":"2026-09-07T03:23:37.316937058Z","level":"INFO","msg":"libra: custo registrado","component":"libra","trace_id":"01a079e4-8f30-791d-ab41-dc1e898f8004","protocol_id":"01a079e4-8f33-7c24-b1cb-52138b456908","amount":0.2}
libra-1  | {"time":"2026-09-07T03:23:37.333924843Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-8f7d-7052-8941-13c0b51ecfe9","protocol_id":"01a079e4-8f7d-786d-9a62-090d6a56e921","status":"SUCCEEDED"}
libra-1  | {"time":"2026-09-07T03:23:37.336067912Z","level":"INFO","msg":"libra: receita registrada","component":"libra","trace_id":"01a079e4-8f7d-7052-8941-13c0b51ecfe9","protocol_id":"01a079e4-8f7d-786d-9a62-090d6a56e921","amount":1}
libra-1  | {"time":"2026-09-07T03:23:37.359500882Z","level":"INFO","msg":"libra: custo registrado","component":"libra","trace_id":"01a079e4-8f67-793b-980d-b743dd282055","protocol_id":"01a079e4-8f68-7177-9c31-ded6970b7410","amount":0.2}
libra-1  | {"time":"2026-09-07T03:23:37.367237931Z","level":"INFO","msg":"libra: custo registrado","component":"libra","trace_id":"01a079e4-8f7d-7052-8941-13c0b51ecfe9","protocol_id":"01a079e4-8f7d-786d-9a62-090d6a56e921","amount":0.2}
libra-1  | {"time":"2026-09-07T03:23:37.871239206Z","level":"INFO","msg":"http_request","component":"libra","method":"POST","path":"/internal/reservations","status":201,"duration_ms":11}
libra-1  | {"time":"2026-09-07T03:23:38.255935353Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-91f3-795b-b497-e2f55e88bcb5","protocol_id":"01a079e4-91f4-75a7-8806-a0b42e03c9ca","status":"FAILED"}
libra-1  | {"time":"2026-09-07T03:23:38.270692515Z","level":"DEBUG","msg":"libra: fato de protocolo recebido","component":"libra","trace_id":"01a079e4-9200-7875-92b9-cbcaf8b79b08","protocol_id":"01a079e4-9201-7aa6-8acc-e4427c96e0c7","status":"SUCCEEDED"}
libra-1  | {"time":"2026-09-07T03:23:38.273615416Z","level":"INFO","msg":"libra: receita registrada","component":"libra","trace_id":"01a079e4-9200-7875-92b9-cbcaf8b79b08","protocol_id":"01a079e4-9201-7aa6-8acc-e4427c96e0c7","amount":1}
